decision_month,decision_date,sell_date,universe_asof_date,raw_universe_size,available_universe_size,momentum_window,holding_months,top_n,avg_momentum,holding_return,stock_1,mom_1,stock_1_return,stock_2,mom_2,stock_2_return,stock_3,mom_3,stock_3_return
2016-01,2016-01-04,2016-02-01,2016-01-04,104,76,3,1,1,0.16665571106494928,-0.0720760301197626,TCOM,0.16665571106494928,-0.0720760301197626,,,,,,
2016-01,2016-01-04,2016-03-01,2016-01-04,104,76,3,2,1,0.16665571106494928,-0.07362364738158089,TCOM,0.16665571106494928,-0.07362364738158089,,,,,,
2016-01,2016-01-04,2016-04-01,2016-01-04,104,76,3,3,1,0.16665571106494928,-0.008622535887117921,TCOM,0.16665571106494928,-0.008622535887117921,,,,,,
2016-01,2016-01-04,2016-02-01,2016-01-04,104,76,3,1,2,0.14803187402987256,-0.1409957298595591,TCOM,0.16665571106494928,-0.0720760301197626,ADSK,0.12940803699479583,-0.2099154295993556,,,
2016-01,2016-01-04,2016-03-01,2016-01-04,104,76,3,2,2,0.14803187402987256,-0.08655481708638646,TCOM,0.16665571106494928,-0.07362364738158089,ADSK,0.12940803699479583,-0.09948598679119203,,,
2016-01,2016-01-04,2016-04-01,2016-01-04,104,76,3,3,2,0.14803187402987256,-0.02536914273787305,TCOM,0.16665571106494928,-0.008622535887117921,ADSK,0.12940803699479583,-0.04211574958862818,,,
2016-01,2016-01-04,2016-02-01,2016-01-04,104,76,3,1,3,0.14109310098763328,-0.10161595955485858,TCOM,0.16665571106494928,-0.0720760301197626,ADSK,0.12940803699479583,-0.2099154295993556,KLAC,0.1272155549031547,-0.022856418945457535
2016-01,2016-01-04,2016-03-01,2016-01-04,104,76,3,2,3,0.14109310098763328,-0.05355939096022625,TCOM,0.16665571106494928,-0.07362364738158089,ADSK,0.12940803699479583,-0.09948598679119203,KLAC,0.1272155549031547,0.01243146129209416
2016-01,2016-01-04,2016-04-01,2016-01-04,104,76,3,3,3,0.14109310098763328,0.007143059397477132,TCOM,0.16665571106494928,-0.008622535887117921,ADSK,0.12940803699479583,-0.04211574958862818,KLAC,0.1272155549031547,0.0721674636681775
2016-02,2016-02-01,2016-03-01,2016-02-01,105,77,3,1,1,0.07494766907651036,0.0006098489914132532,DLTR,0.07494766907651036,0.0006098489914132532,,,,,,
2016-02,2016-02-01,2016-04-01,2016-02-01,105,77,3,2,1,0.07494766907651036,0.016223397745782853,DLTR,0.07494766907651036,0.016223397745782853,,,,,,
2016-02,2016-02-01,2016-05-02,2016-02-01,105,77,3,3,1,0.07494766907651036,-0.01341798070837219,DLTR,0.07494766907651036,-0.01341798070837219,,,,,,
2016-02,2016-02-01,2016-03-01,2016-02-01,105,77,3,1,2,0.05718563423044124,-0.0043637910301234095,DLTR,0.07494766907651036,0.0006098489914132532,ROST,0.03942359938437212,-0.009337431051660072,,,
2016-02,2016-02-01,2016-04-01,2016-02-01,105,77,3,2,2,0.05718563423044124,0.025908287021300658,DLTR,0.07494766907651036,0.016223397745782853,ROST,0.03942359938437212,0.03559317629681846,,,
2016-02,2016-02-01,2016-05-02,2016-02-01,105,77,3,3,2,0.05718563423044124,0.0018158734876639326,DLTR,0.07494766907651036,-0.01341798070837219,ROST,0.03942359938437212,0.017049727683700056,,,
2016-02,2016-02-01,2016-03-01,2016-02-01,105,77,3,1,3,0.051128323637223805,-0.018172603614736233,DLTR,0.07494766907651036,0.0006098489914132532,ROST,0.03942359938437212,-0.009337431051660072,META,0.039013702450788945,-0.045790228783961884
2016-02,2016-02-01,2016-04-01,2016-02-01,105,77,3,2,3,0.051128323637223805,0.02008160777204278,DLTR,0.07494766907651036,0.016223397745782853,ROST,0.03942359938437212,0.03559317629681846,META,0.039013702450788945,0.008428249273527033
2016-02,2016-02-01,2016-05-02,2016-02-01,105,77,3,3,3,0.051128323637223805,0.011289654087538495,DLTR,0.07494766907651036,-0.01341798070837219,ROST,0.03942359938437212,0.017049727683700056,META,0.039013702450788945,0.030237215287287622
2016-03,2016-03-01,2016-04-01,2016-03-01,105,77,3,1,1,0.10056070553521164,0.061667005038054556,MAT,0.10056070553521164,0.061667005038054556,,,,,,
2016-03,2016-03-01,2016-05-02,2016-03-01,105,77,3,2,1,0.10056070553521164,-0.02912918262446118,MAT,0.10056070553521164,-0.02912918262446118,,,,,,
2016-03,2016-03-01,2016-06-01,2016-03-01,105,77,3,3,1,0.10056070553521164,-0.001369925593599386,MAT,0.10056070553521164,-0.001369925593599386,,,,,,
2016-03,2016-03-01,2016-04-01,2016-03-01,105,77,3,1,2,0.08460832162126448,0.01804660601664193,MAT,0.10056070553521164,0.061667005038054556,BBBY,0.06865593770731733,-0.025573793004770695,,,
2016-03,2016-03-01,2016-05-02,2016-03-01,105,77,3,2,2,0.08460832162126448,-0.013908838598667594,MAT,0.10056070553521164,-0.02912918262446118,BBBY,0.06865593770731733,0.0013115054271259918,,,
2016-03,2016-03-01,2016-06-01,2016-03-01,105,77,3,3,2,0.08460832162126448,0.059970787415322524,MAT,0.10056070553521164,-0.001369925593599386,BBBY,0.06865593770731733,0.12131150042424443,,,
2016-03,2016-03-01,2016-04-01,2016-03-01,105,77,3,1,3,0.07320342992563793,0.02794823080135563,MAT,0.10056070553521164,0.061667005038054556,BBBY,0.06865593770731733,-0.025573793004770695,FAST,0.050393646534384794,0.04775148037078303
2016-03,2016-03-01,2016-05-02,2016-03-01,105,77,3,2,3,0.07320342992563793,-0.004764989860929029,MAT,0.10056070553521164,-0.02912918262446118,BBBY,0.06865593770731733,0.0013115054271259918,FAST,0.050393646534384794,0.013522707614548102
2016-03,2016-03-01,2016-06-01,2016-03-01,105,77,3,3,3,0.07320342992563793,0.03888379878984768,MAT,0.10056070553521164,-0.001369925593599386,BBBY,0.06865593770731733,0.12131150042424443,FAST,0.050393646534384794,-0.0032901784611020224
2016-04,2016-04-01,2016-05-02,2016-04-01,105,78,3,1,1,0.0891611421789628,0.02759090246022944,BBBY,0.0891611421789628,0.02759090246022944,,,,,,
2016-04,2016-04-01,2016-06-01,2016-04-01,105,78,3,2,1,0.0891611421789628,0.15074029451850968,BBBY,0.0891611421789628,0.15074029451850968,,,,,,
2016-04,2016-04-01,2016-07-01,2016-04-01,105,78,3,3,1,0.0891611421789628,0.08344554195432252,BBBY,0.0891611421789628,0.08344554195432252,,,,,,
2016-04,2016-04-01,2016-05-02,2016-04-01,105,78,3,1,2,0.08768676805183825,-0.028965691026190565,BBBY,0.0891611421789628,0.02759090246022944,MAT,0.08621239392471369,-0.08552228451261057,,,
2016-04,2016-04-01,2016-06-01,2016-04-01,105,78,3,2,2,0.08768676805183825,0.045682434288748464,BBBY,0.0891611421789628,0.15074029451850968,MAT,0.08621239392471369,-0.05937542594101275,,,
2016-04,2016-04-01,2016-07-01,2016-04-01,105,78,3,3,2,0.08768676805183825,0.007897796043827343,BBBY,0.0891611421789628,0.08344554195432252,MAT,0.08621239392471369,-0.06764994986666784,,,
2016-04,2016-04-01,2016-05-02,2016-04-01,105,78,3,1,3,0.08254363607187394,-0.030200057246383676,BBBY,0.0891611421789628,0.02759090246022944,MAT,0.08621239392471369,-0.08552228451261057,FAST,0.07225737211194534,-0.032668789686769895
2016-04,2016-04-01,2016-06-01,2016-04-01,105,78,3,2,3,0.08254363607187394,0.014216481138019358,BBBY,0.0891611421789628,0.15074029451850968,MAT,0.08621239392471369,-0.05937542594101275,FAST,0.07225737211194534,-0.04871542516343885
2016-04,2016-04-01,2016-07-01,2016-04-01,105,78,3,3,3,0.08254363607187394,-0.017487995243529952,BBBY,0.0891611421789628,0.08344554195432252,MAT,0.08621239392471369,-0.06764994986666784,FAST,0.07225737211194534,-0.06825957781824454
2016-05,2016-05-02,2016-06-01,2016-05-02,107,80,3,1,1,0.11481557583041802,0.11984282048764672,BBBY,0.11481557583041802,0.11984282048764672,,,,,,
2016-05,2016-05-02,2016-07-01,2016-05-02,107,80,3,2,1,0.11481557583041802,0.054354937709517825,BBBY,0.11481557583041802,0.054354937709517825,,,,,,
2016-05,2016-05-02,2016-08-01,2016-05-02,107,80,3,3,1,0.11481557583041802,0.07400125257966716,BBBY,0.11481557583041802,0.07400125257966716,,,,,,
2016-05,2016-05-02,2016-06-01,2016-05-02,107,80,3,1,2,0.1017067077511275,0.03490919133999343,BBBY,0.11481557583041802,0.11984282048764672,ADSK,0.08859783967183699,-0.05002443780765986,,,
2016-05,2016-05-02,2016-07-01,2016-05-02,107,80,3,2,2,0.1017067077511275,-0.030098063992321178,BBBY,0.11481557583041802,0.054354937709517825,ADSK,0.08859783967183699,-0.11455106569416018,,,
2016-05,2016-05-02,2016-08-01,2016-05-02,107,80,3,3,2,0.1017067077511275,0.023720544150455325,BBBY,0.11481557583041802,0.07400125257966716,ADSK,0.08859783967183699,-0.026560164278756515,,,
2016-05,2016-05-02,2016-06-01,2016-05-02,107,80,3,1,3,0.0946161423225456,0.003938990303055445,BBBY,0.11481557583041802,0.11984282048764672,ADSK,0.08859783967183699,-0.05002443780765986,BKNG,0.08043501146538179,-0.05800141177082052
2016-05,2016-05-02,2016-07-01,2016-05-02,107,80,3,2,3,0.0946161423225456,-0.04201097268676468,BBBY,0.11481557583041802,0.054354937709517825,ADSK,0.08859783967183699,-0.11455106569416018,BKNG,0.08043501146538179,-0.06583679007565169
2016-05,2016-05-02,2016-08-01,2016-05-02,107,80,3,3,3,0.0946161423225456,0.01566380402905576,BBBY,0.11481557583041802,0.07400125257966716,ADSK,0.08859783967183699,-0.026560164278756515,BKNG,0.08043501146538179,-0.0004496762137433663
2016-06,2016-06-01,2016-07-01,2016-06-01,107,80,3,1,1,0.13444083332575255,-0.0032051525106804313,NVDA,0.13444083332575255,-0.0032051525106804313,,,,,,
2016-06,2016-06-01,2016-08-01,2016-06-01,107,80,3,2,1,0.13444083332575255,0.21191975172377941,NVDA,0.13444083332575255,0.21191975172377941,,,,,,
2016-06,2016-06-01,2016-09-01,2016-06-01,107,80,3,3,1,0.13444083332575255,0.3515562192414068,NVDA,0.13444083332575255,0.3515562192414068,,,,,,
2016-06,2016-06-01,2016-07-01,2016-06-01,107,80,3,1,2,0.12745286891923985,0.01331210397927951,NVDA,0.13444083332575255,-0.0032051525106804313,ULTA,0.12046490451272714,0.029829360469239452,,,
2016-06,2016-06-01,2016-08-01,2016-06-01,107,80,3,2,2,0.12745286891923985,0.1564288960320135,NVDA,0.13444083332575255,0.21191975172377941,ULTA,0.12046490451272714,0.10093804034024756,,,
2016-06,2016-06-01,2016-09-01,2016-06-01,107,80,3,3,2,0.12745286891923985,0.1944531389223758,NVDA,0.13444083332575255,0.3515562192414068,ULTA,0.12046490451272714,0.03735005860334484,,,
2016-06,2016-06-01,2016-07-01,2016-06-01,107,80,3,1,3,0.11601598303057602,0.0247884810475405,NVDA,0.13444083332575255,-0.0032051525106804313,ULTA,0.12046490451272714,0.029829360469239452,NTES,0.09314221125324833,0.04774123518406248
2016-06,2016-06-01,2016-08-01,2016-06-01,107,80,3,2,3,0.11601598303057602,0.154524392389897,NVDA,0.13444083332575255,0.21191975172377941,ULTA,0.12046490451272714,0.10093804034024756,NTES,0.09314221125324833,0.15071538510566396
2016-06,2016-06-01,2016-09-01,2016-06-01,107,80,3,3,3,0.11601598303057602,0.20632013652929002,NVDA,0.13444083332575255,0.3515562192414068,ULTA,0.12046490451272714,0.03735005860334484,NTES,0.09314221125324833,0.2300541317431184
2016-07,2016-07-01,2016-08-01,2016-07-01,104,79,3,1,1,0.09876676353912839,0.21581662944617608,NVDA,0.09876676353912839,0.21581662944617608,,,,,,
2016-07,2016-07-01,2016-09-01,2016-07-01,104,79,3,2,1,0.09876676353912839,0.3559020922365759,NVDA,0.09876676353912839,0.3559020922365759,,,,,,
